"city","state","slug","growth","densityMi","areaMi","lng","lat","population","pop2026","pop2025","pop2020","pop2010","type","rank"
"Conroe","Texas","texas/conroe",0.05564,1666,75.796,-95.4846,30.3287,126254,126254,120417,91234,56207,"City",253
"Simi Valley","California","california/simi-valley",-0.00113,3021,41.542,-118.748,34.2669,125493,125493,125635,126347,124237,"City",254
"Nampa","Idaho","idaho/nampa",0.03587,3474,36.068,-116.564,43.5864,125310,125310,121330,101430,81557,"City",255
"Topeka","Kansas","kansas/topeka",-0.00191,2019,61.897,-95.6962,39.0347,124985,124985,125226,126430,127473,"City",256
"Cambridge","Massachusetts","massachusetts/cambridge",0.00926,19529,6.397,-71.1187,42.376,124928,124928,123057,118204,105162,"City",257
"Rochester","Minnesota","minnesota/rochester",0.00417,2194,56.807,-92.4786,44.0143,124648,124648,124136,121575,106769,"City",258
"Buckeye","Arizona","arizona/buckeye",0.04861,315,395.797,-112.642,33.4316,124630,124630,119482,93741,50876,"City",259
"Fairfield","California","california/fairfield",0.00567,2982,41.586,-122.032,38.2621,124024,124024,123335,119890,105321,"City",260
"Menifee","California","california/menifee",0.03098,2668,46.464,-117.184,33.6899,123952,123952,120496,103218,77519,"City",261
"Billings","Montana","montana/billings",0.00886,2672,46.263,-108.552,45.7885,123608,123608,122545,117233,104170,"City",262
"Spring Hill","Florida","florida/spring-hill",0,2061,59.918,-82.5297,28.4792,123474,123474,121921,0,98621,"CDP",263
"Concord","California","california/concord",-0.00255,4036,30.568,-122.002,37.9722,123382,123382,123699,125284,122067,"City",264
"Hartford","Connecticut","connecticut/hartford",0.00342,7075,17.379,-72.6816,41.7659,122959,122959,122544,120469,124775,"City",265
"Lowell","Massachusetts","massachusetts/lowell",0.00998,9034,13.61,-71.321,42.639,122948,122948,121683,115834,106519,"City",266
"Thousand Oaks","California","california/thousand-oaks",-0.00516,2225,55.257,-118.874,34.1933,122936,122936,123582,126814,126683,"City",267
"Lafayette","Louisiana","louisiana/lafayette",0.0017,2174,56.448,-92.0281,30.2056,122695,122695,122487,121450,120623,"City",268
"Ann Arbor","Michigan","michigan/ann-arbor",-0.00169,4324,28.33,-83.7309,42.2761,122509,122509,122717,123757,113934,"City",269
"Vallejo","California","california/vallejo",-0.00493,4017,30.435,-122.262,38.1069,122247,122247,122861,125930,115942,"City",270
"The Woodlands","Texas","texas/the-woodlands",0,2825,43.273,-95.5098,30.1726,122240,122240,120465,0,93847,"CDP",271
"Odessa","Texas","texas/odessa",0.01021,2354,51.889,-102.345,31.8805,122155,122155,120951,114934,99940,"City",272
"Pompano Beach","Florida","florida/pompano-beach",0.01326,5035,24.066,-80.1339,26.2416,121174,121174,119639,111964,99845,"City",273
"Independence","Missouri","missouri/independence",-0.00249,1552,77.989,-94.3521,39.0855,121021,121021,121325,122845,116830,"City",274
"Arvada","Colorado","colorado/arvada",-0.00507,3095,38.974,-105.15,39.8337,120628,120628,121250,124363,106433,"City",275
"High Point","North Carolina","north-carolina/high-point",0.00818,2096,57.489,-79.9927,35.9908,120518,120518,119559,114767,104371,"City",276
"Berkeley","California","california/berkeley",-0.00503,11552,10.432,-122.299,37.8657,120514,120514,121131,124219,112580,"City",277
"League City","Texas","texas/league-city",0.00811,2343,51.362,-95.1091,29.4901,120354,120354,119405,114659,83560,"City",278
"Antioch","California","california/antioch",0.00655,4113,29.171,-121.796,37.9783,119988,119988,119220,115382,102372,"City",279
"Las Cruces","New Mexico","new-mexico/las-cruces",0.01147,1555,76.933,-106.79,32.3264,119636,119636,118317,111721,97618,"City",280
"Brandon","Florida","florida/brandon",0,3602,33.134,-82.2993,27.936,119338,119338,118347,0,103483,"CDP",281
"Tuscaloosa","Alabama","alabama/tuscaloosa",0.01964,1884,62.963,-87.5283,33.2344,118643,118643,116465,105578,90468,"City",282
"Miami Gardens","Florida","florida/miami-gardens",0.01034,6416,18.476,-80.2436,25.9489,118537,118537,117355,111445,107167,"City",283
"Allen","Texas","texas/allen",0.01852,4466,26.385,-96.6747,33.1072,117841,117841,115793,105556,84246,"City",284
"Manchester","New Hampshire","new-hampshire/manchester",0.00324,3561,33.069,-71.4441,42.9849,117774,117774,117080,115512,109565,"City",285
"Richardson","Texas","texas/richardson",-0.00229,4120,28.562,-96.7081,32.9723,117677,117677,117949,119308,99223,"City",286
"Georgetown","Texas","texas/georgetown",0.09379,1996,58.941,-97.6987,30.6681,117660,117660,109502,68712,47400,"City",287
